                        BATALHA            CORUMBA-3           EMBORCAÇÃO           NOVA PONTE           C.BRANCO-2            ITUMBIARA           C. DOURADA            SÃO SIMÃO            CORUMBA-4              MIRANDA           C.BRANCO-1              CORUMBA           S.DO FACÃO
                            022                  023                  024                  025                  028                  031                  032                  033                  205                  206                  207                  209                  251
                    INCREMENTAL          INCREMENTAL          INCREMENTAL                TOTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL                TOTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL
08/03/2020               351.10                79.43               954.75               702.17                 7.33               576.05               117.49              1858.60               361.30                24.43                 3.05               714.86               219.80
09/03/2020               325.52                71.86               875.11               657.36                 6.75               530.31               109.45              1744.54               344.28                22.49                 2.81               646.70               203.78
10/03/2020               299.01                66.01               806.18               618.98                 6.28               493.12               102.52              1643.21               324.24                20.92                 2.61               594.08               187.18
11/03/2020               273.78                60.89               747.32               586.09                 5.89               462.65                96.45              1555.03               303.92                19.62                 2.45               547.99               171.39
12/03/2020               252.62                56.99               698.14               560.08                 5.54               435.49                91.49              1483.64               284.84                18.47                 2.31               512.87               158.14
13/03/2020               235.32                54.02               656.98               539.85                 5.24               412.13                86.93              1423.85               268.39                17.48                 2.19               486.18               147.31
14/03/2020               221.15                51.85               622.46               523.95                 5.00               392.53                82.78              1371.98               254.42                16.65                 2.08               466.68               138.44
15/03/2020               209.49                50.22               593.56               511.27                 4.78               375.46                79.30              1326.16               242.80                15.93                 1.99               452.01               131.15
16/03/2020               199.92                49.11               569.31               501.01                 4.60               361.65                76.41              1285.71               233.24                15.34                 1.92               442.02               125.16
17/03/2020               191.79                48.07               548.83               492.67                 4.48               351.96                74.15              1253.06               225.02                14.93                 1.87               432.59               120.06
18/03/2020               185.05                47.39               531.07               485.76                 4.36               342.64                71.90              1223.00               217.97                14.53                 1.82               426.47               115.85
19/03/2020               179.76                46.99               515.90               480.15                 4.26               334.74                70.08              1198.36               212.58                14.20                 1.77               422.95               112.54
