                       CAMARGOS             ITUTINGA               FURNAS            M. MORAES        L. C. BARRETO              JAGUARA            IGARAPAVA         VOLTA GRANDE          P. COLOMBIA              CACONDE          E. DA CUNHA             LIMOEIRO           MARIMBONDO          A. VERMELHA             FUNIL-MG
                            001                  002                  006                  007                  008                  009                  010                  011                  012                  014                  015                  016                  017                  018                  211
                    INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL
23/03/2020               143.80                 0.00               890.31               216.89                50.05                20.71                59.26               132.32               258.73                55.75                35.65                 1.01               491.09               350.04               363.26
24/03/2020               137.65                 0.00               854.74               207.93                47.98                19.86                56.81               126.85               251.29                53.91                34.47                 0.98               484.35               350.37               337.43
25/03/2020               131.79                 0.00               806.73               199.50                46.04                19.05                54.51               121.71               242.82                52.50                33.57                 0.96               463.39               334.86               313.39
26/03/2020               126.57                 0.00               761.30               191.72                44.24                18.31                52.38               116.96               234.48                51.39                32.86                 0.94               443.37               320.56               292.37
27/03/2020               121.92                 0.00               720.43               184.52                42.58                17.62                50.41               112.57               226.78                50.50                32.28                 0.92               426.14               307.83               274.62
28/03/2020               117.77                 0.00               684.20               177.86                41.04                16.98                48.59               108.51               219.77                49.76                31.81                 0.90               411.28               296.49               259.60
29/03/2020               114.07                 0.00               652.05               171.69                39.62                16.39                46.91               104.74               213.37                49.12                31.41                 0.89               398.38               286.47               246.88
30/03/2020               110.76                 0.00               623.46               165.99                38.30                15.85                45.35               101.26               207.54                48.57                31.05                 0.88               387.30               278.14               236.08
31/03/2020               108.60                 0.00               599.31               164.42                37.94                15.70                44.92               100.31               205.94                48.96                31.30                 0.88               381.27               275.31               226.98
01/04/2020               108.57                 0.00               582.41               164.20                37.89                15.68                44.86               100.18               206.88                50.94                32.57                 0.90               380.13               276.81               220.18
02/04/2020               107.17                 0.00               570.80               159.23                36.75                15.20                43.50                97.14               203.90                51.80                33.11                 0.91               382.09               279.53               213.46
03/04/2020               104.96                 0.00               558.19               154.65                35.69                14.77                42.25                94.35               199.64                50.97                32.59                 0.90               382.32               278.34               207.57
