                   GUARAPIRANGA        BILL E PEDRAS           PONTE NOVA    E. S. + PINHEIROS            B. BONITA               BARIRI             IBITINGA            PROMISSÃO       N. AVANHANDAVA
                            117                  119                  160                  161                  237                  238                  239                  240                  242
                    INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL
11/02/2020               189.23               288.57               115.11               983.98              1005.45               145.50               279.94               194.96                76.95
12/02/2020               122.26               186.45                74.38               635.77              1175.65               130.25               250.60               182.86                72.18
13/02/2020                80.99               123.50                49.27               421.13              1214.86               112.65               216.74               167.57                66.14
14/02/2020                53.71                81.91                32.67               279.29              1169.74               103.80               199.72               154.54                61.00
15/02/2020                36.37                55.47                22.13               189.14               935.21                89.70               172.59               145.00                57.23
16/02/2020                25.83                39.38                15.71               134.29               753.03                74.07               142.51               138.55                54.69
17/02/2020                19.72                30.07                12.00               102.54               624.66                71.39               137.35               134.09                52.92
18/02/2020                15.99                24.38                 9.72                83.12               538.63                72.11               138.75               132.41                52.26
19/02/2020                14.52                22.14                 8.83                75.49               491.83                73.02               140.49               131.07                51.74
20/02/2020                13.33                20.33                 8.11                69.31               465.80                73.88               142.14               130.14                51.36
21/02/2020                13.42                20.46                 8.16                69.78               459.06                73.26               140.96               128.88                50.87
22/02/2020                13.91                21.22                 8.46                72.34               456.82                71.54               137.63               126.46                49.92
