-51.40 -17.40   0.00
-51.00 -18.20   0.00
-51.00 -17.80   0.00
-51.00 -17.40   0.00
-51.00 -17.00   0.00
-50.60 -18.60   0.00
-50.60 -18.20   0.00
-50.60 -17.80   0.00
-50.60 -17.40   0.00
-50.60 -17.00   0.00
-50.20 -19.00   0.00
-50.20 -18.60   0.00
-50.20 -18.20   0.00
-50.20 -17.80   0.00
-50.20 -17.40   0.00
-50.20 -17.00   0.00
-50.20 -16.60   0.00
-49.80 -19.00   0.00
-49.80 -18.60   0.00
-49.80 -18.20   0.00
-49.80 -17.80   0.00
-49.80 -17.40   0.00
-49.80 -17.00   0.00
-49.80 -16.60   0.00
-49.40 -19.40   0.00
-49.40 -19.00   0.00
-49.40 -18.60   0.00
-49.40 -18.20   0.00
-49.40 -17.80   0.00
-49.40 -17.40   0.00
-49.40 -17.00   0.00
-49.40 -16.60   0.00
-49.40 -16.20   0.00
-49.00 -19.40   0.00
-49.00 -19.00   0.00
-49.00 -18.60   0.00
-49.00 -18.20   0.00
-49.00 -17.80   0.00
-49.00 -17.40   0.00
-49.00 -17.00   0.00
-49.00 -16.60   0.00
-49.00 -16.20   0.00
-48.60 -19.40   0.00
-48.60 -19.00   0.00
-48.60 -18.60   0.00
-48.60 -18.20   0.00
-48.60 -17.80   0.00
-48.60 -17.40   0.00
-48.60 -17.00   0.00
-48.60 -16.60   0.00
-48.60 -16.20   0.00
-48.60 -15.80   0.00
-48.20 -19.40   0.00
-48.20 -19.00   0.00
-48.20 -18.60   0.00
-48.20 -18.20   0.00
-48.20 -17.80   0.00
-48.20 -17.40   0.00
-48.20 -17.00   0.00
-48.20 -16.60   0.00
-48.20 -16.20   0.00
-48.20 -15.80   0.00
-47.80 -19.40   0.00
-47.80 -19.00   0.00
-47.80 -18.60   0.00
-47.80 -18.20   0.00
-47.80 -17.80   0.00
-47.80 -17.40   0.00
-47.80 -17.00   0.00
-47.80 -16.60   0.00
-47.80 -16.20   0.00
-47.80 -15.80   0.00
-47.40 -19.40   0.00
-47.40 -19.00   0.00
-47.40 -18.60   0.00
-47.40 -18.20   0.00
-47.40 -17.80   0.00
-47.40 -17.40   0.00
-47.40 -17.00   0.00
-47.40 -16.60   0.00
-47.00 -19.80   0.00
-47.00 -19.40   0.00
-47.00 -19.00   0.00
-47.00 -18.60   0.00
-47.00 -18.20   0.00
-46.60 -19.80   0.00
-46.60 -19.40   0.00
-46.60 -19.00   0.00
-46.60 -18.60   0.00
-46.20 -19.40   0.00
