                        BATALHA            CORUMBA-3           EMBORCAÇÃO           NOVA PONTE           C.BRANCO-2            ITUMBIARA           C. DOURADA            SÃO SIMÃO            CORUMBA-4              MIRANDA           C.BRANCO-1              CORUMBA           S.DO FACÃO
                            022                  023                  024                  025                  028                  031                  032                  033                  205                  206                  207                  209                  251
                    INCREMENTAL          INCREMENTAL          INCREMENTAL                TOTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL                TOTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL
25/03/2020               165.92                52.43               448.45               491.08                 4.76               373.76                95.72              1485.67               240.09                15.85                 1.98               471.89               103.87
26/03/2020               162.74                51.45               432.73               474.32                 4.50               353.92                89.55              1438.69               244.49                15.01                 1.88               463.05               101.87
27/03/2020               155.71                48.23               419.32               460.51                 4.29               337.05                83.72              1378.93               240.36                14.30                 1.79               434.08                97.47
28/03/2020               149.61                45.64               407.81               449.37                 4.10               322.57                78.47              1322.02               227.94                13.68                 1.71               410.76                93.66
29/03/2020               144.42                43.65               397.87               440.32                 3.95               310.20                73.91              1272.73               215.13                13.16                 1.64               392.84                90.41
30/03/2020               139.97                42.10               389.23               432.82                 3.81               299.71                70.00              1230.81               203.76                12.71                 1.59               378.89                87.62
31/03/2020               136.11                40.90               381.66               426.70                 3.70               290.86                66.84              1197.37               193.88                12.34                 1.54               368.12                85.20
01/04/2020               132.72                39.92               375.00               422.15                 3.61               284.05                63.90              1165.36               185.33                12.05                 1.51               359.24                83.09
02/04/2020               129.73                39.11               369.13               418.67                 3.54               278.19                61.35              1135.65               178.12                11.80                 1.48               351.96                81.22
03/04/2020               127.18                38.44               365.07               420.90                 3.47               273.03                59.43              1111.18               172.02                11.58                 1.45               345.96                79.61
04/04/2020               125.45                38.03               361.43               417.87                 3.44               270.66                57.54              1087.83               167.12                11.48                 1.44               342.25                78.53
05/04/2020               124.05                37.68               357.61               413.88                 3.41               267.83                55.92              1067.96               163.29                11.36                 1.42               339.11                77.65
