                   RETIRO BAIXO          TRÊS MARIAS             QUEIMADO
                            155                  156                  158
                          TOTAL          INCREMENTAL                TOTAL
23/03/2020               320.56              1096.00                56.87
24/03/2020               347.86              1070.40                62.86
25/03/2020               359.14              1035.41                60.95
26/03/2020               321.89              1000.18                59.21
27/03/2020               283.51               967.76                57.60
28/03/2020               252.78               938.25                56.09
29/03/2020               228.13               911.33                54.43
30/03/2020               208.31               886.73                52.94
31/03/2020               192.31               864.31                51.62
01/04/2020               179.36               843.82                50.41
02/04/2020               168.89               824.92                49.32
03/04/2020               160.61               808.16                48.36
