                   GUARAPIRANGA        BILL E PEDRAS           PONTE NOVA    E. S. + PINHEIROS            B. BONITA               BARIRI             IBITINGA            PROMISSÃO       N. AVANHANDAVA
                            117                  119                  160                  161                  237                  238                  239                  240                  242
                    INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL
25/03/2020                 9.11                13.90                 5.54                47.38               357.46                61.67               118.66                64.70                25.54
26/03/2020                 8.92                13.60                 5.43                46.38               331.12                60.97               117.31                64.49                25.46
27/03/2020                 8.78                13.39                 5.34                45.65               312.47                60.53               116.47                64.29                25.38
28/03/2020                 8.67                13.22                 5.27                45.07               299.16                60.16               115.75                64.10                25.30
29/03/2020                 8.57                13.07                 5.22                44.58               289.53                59.81               115.06                64.07                25.29
30/03/2020                 9.12                13.90                 5.55                47.40               282.44                59.46               114.39                64.81                25.58
31/03/2020                12.04                18.35                 7.32                62.59               277.30                59.13               113.77                64.82                25.58
01/04/2020                10.83                16.52                 6.59                56.32               275.97                58.91               113.35                64.61                25.50
02/04/2020                10.02                15.28                 6.10                52.11               274.04                58.65               112.84                64.37                25.41
03/04/2020                11.46                17.47                 6.97                59.59               271.25                58.52               112.58                64.02                25.27
04/04/2020                13.66                20.84                 8.31                71.05               269.05                58.33               112.22                63.92                25.23
05/04/2020                14.40                21.95                 8.76                74.86               268.48                58.19               111.97                64.01                25.26
