                       CAMARGOS             ITUTINGA               FURNAS            M. MORAES        L. C. BARRETO              JAGUARA            IGARAPAVA         VOLTA GRANDE          P. COLOMBIA              CACONDE          E. DA CUNHA             LIMOEIRO           MARIMBONDO          A. VERMELHA             FUNIL-MG
                            001                  002                  006                  007                  008                  009                  010                  011                  012                  014                  015                  016                  017                  018                  211
                    INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL
12/02/2020               321.83                 0.00              1797.67               259.98                60.00                24.83                71.03               158.61               302.04               335.61               214.57                 1.88               811.59               457.55               316.72
13/02/2020               345.19                 0.00              2307.99               283.36                65.39                27.06                77.42               172.87               320.67               330.58               211.36                 1.82               841.71               441.83               365.31
14/02/2020               327.57                 0.00              2578.29               272.53                62.89                26.02                74.46               166.27               318.38               257.70               164.76                 1.73               856.75               432.26               384.41
15/02/2020               301.33                 0.00              2438.46               258.63                59.68                24.70                70.66               157.79               307.30               201.24               128.66                 1.64               862.82               418.47               346.97
16/02/2020               276.16                 0.00              2215.88               244.31                56.38                23.33                66.75               149.05               293.69               160.51               102.62                 1.55               827.05               402.68               308.77
17/02/2020               256.09                 0.00              2011.69               231.14                53.34                22.07                63.15               141.01               280.28               131.42                84.02                 1.47               770.89               386.04               277.45
18/02/2020               250.12                 0.00              1844.32               220.67                50.92                21.07                60.29               134.62               269.13               111.13                71.05                 1.41               724.21               370.48               268.11
19/02/2020               239.24                 0.00              1703.13               211.96                48.91                20.24                57.91               129.32               260.47                97.19                62.13                 1.37               690.21               358.67               261.89
20/02/2020               226.05                 0.00              1587.32               203.84                47.04                19.46                55.69               124.36               253.13                87.27                55.80                 1.34               672.36               349.29               253.96
21/02/2020               213.50                 0.00              1479.14               194.99                45.00                18.62                53.27               118.96               247.44                80.72                51.61                 1.32               670.03               347.14               244.87
22/02/2020               203.96                 0.00              1374.02               185.97                42.92                17.76                50.81               113.46               241.72                77.01                49.24                 1.31               669.69               349.91               227.86
23/02/2020               196.20                 0.00              1283.95               178.19                41.12                17.02                48.68               108.71               236.32                74.80                47.82                 1.32               667.02               356.47               212.84
