                        BATALHA            CORUMBA-3           EMBORCAÇÃO           NOVA PONTE           C.BRANCO-2            ITUMBIARA           C. DOURADA            SÃO SIMÃO            CORUMBA-4              MIRANDA           C.BRANCO-1              CORUMBA           S.DO FACÃO
                            022                  023                  024                  025                  028                  031                  032                  033                  205                  206                  207                  209                  251
                    INCREMENTAL          INCREMENTAL          INCREMENTAL                TOTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL                TOTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL
23/03/2020               181.45                43.08               570.77               504.09                 5.24               412.10                87.63              1420.56               239.64                17.48                 2.19               387.70               113.59
24/03/2020               180.00                44.14               558.65               496.99                 5.37               421.62                83.27              1378.62               231.08                17.88                 2.24               397.28               112.68
25/03/2020               174.41                43.55               537.37               482.22                 5.00               393.08                78.77              1339.85               225.99                16.67                 2.08               391.91               109.19
26/03/2020               168.05                42.04               517.68               469.20                 4.69               368.26                74.56              1296.09               218.69                15.62                 1.95               378.32               105.21
27/03/2020               162.24                40.61               500.90               458.44                 4.42               347.20                70.56              1250.74               208.22                14.73                 1.84               365.49               101.56
28/03/2020               157.27                39.48               486.53               449.66                 4.19               329.33                67.03              1211.40               198.05                13.97                 1.75               355.31                98.46
29/03/2020               153.00                38.57               474.14               442.34                 4.00               314.15                64.30              1183.93               189.14                13.33                 1.67               347.13                95.78
30/03/2020               149.26                37.81               463.41               436.12                 3.84               301.38                62.16              1168.50               181.36                12.78                 1.60               340.31                93.44
31/03/2020               145.96                37.18               454.03               432.08                 3.70               290.68                62.28              1173.73               174.61                12.33                 1.54               334.58                91.37
01/04/2020               143.06                36.68               446.25               435.44                 3.63               284.95                60.52              1158.36               168.96                12.09                 1.51               330.13                89.55
02/04/2020               140.54                36.31               439.31               432.37                 3.55               279.11                58.48              1135.00               164.36                11.84                 1.48               326.76                87.98
03/04/2020               138.22                35.90               432.82               427.77                 3.47               272.39                56.67              1110.35               160.42                11.55                 1.44               323.07                86.52
