                 SANTA CLARA-PR               FUNDÃO               JORDÃO         G. B. MUNHOZ              SEGREDO       SALTO SANTIAGO         SALTO OSORIO         SALTO CAXIAS       SEGREDO+JORDAO
                            071                  072                  073                  074                  076                  077                  078                  222                  976
                          TOTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL
12/02/2020                30.35                 1.42                 5.71               185.08                29.23                22.06                 8.72                54.73                 0.00
13/02/2020                28.97                 1.35                 5.42               173.11                27.78                19.95                 7.89                49.49                 0.00
14/02/2020                27.75                 1.30                 5.23               162.09                26.77                18.27                 7.22                45.31                 0.00
15/02/2020                26.67                 1.26                 5.07               152.19                25.99                16.89                 6.68                41.91                 0.00
16/02/2020                25.73                 1.23                 4.97               143.11                25.44                15.90                 6.29                39.44                 0.00
17/02/2020                25.21                 1.23                 4.95               135.80                25.34                15.10                 5.97                37.46                 0.00
18/02/2020                24.62                 1.22                 4.93               130.34                25.24                14.56                 5.75                36.11                 0.00
19/02/2020                24.23                 1.34                 5.38               126.28                27.54                14.39                 5.69                35.69                 0.00
20/02/2020                24.80                 1.43                 5.76               124.66                29.49                17.71                 7.00                43.94                 0.00
21/02/2020                25.41                 1.32                 5.33               124.09                27.30                17.93                 7.09                44.49                 0.00
22/02/2020                24.71                 1.23                 4.95               122.36                25.33                16.68                 6.60                41.38                 0.00
23/02/2020                23.66                 1.17                 4.70               119.86                24.09                15.32                 6.06                38.01                 0.00
