                      GARIBALDI                  ITÁ          PASSO FUNDO          FOZ CHAPECO             SAO JOSE       PASSO SAO JOAO         BARRA GRANDE         CAMPOS NOVOS           MACHADINHO           MONJOLINHO        QUEBRA QUEIXO
                            089                  092                  093                  094                  102                  103                  215                  216                  217                  220                  286
                    INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL                TOTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL                TOTAL
27/02/2020               284.83               476.84                29.95               313.36                49.73                 1.91               305.61                28.17               612.08                21.16                55.09
28/02/2020               371.15               427.75                23.69               223.34                47.35                 1.82               261.72                36.71               628.67                16.73                49.20
29/02/2020               319.84               344.30                19.01               174.73                45.33                 1.74               205.69                31.63               383.88                13.43                44.17
01/03/2020               274.70               278.23                15.49               152.20                43.34                 1.67               162.94                27.17               240.18                10.95                39.85
02/03/2020               236.41               225.29                12.68               133.46                41.65                 1.60               129.96                23.38               155.69                 8.95                36.14
03/03/2020               204.18               184.04                10.56               117.87                40.21                 1.55               104.95                20.19               106.44                 7.46                32.94
04/03/2020               177.02               151.87                 8.97               104.88                38.97                 1.50                86.05                17.51                77.77                 6.33                30.18
05/03/2020               154.13               126.78                 7.76                94.06                37.88                 1.46                72.77                15.24                61.12                 5.49                27.79
06/03/2020               134.87               107.20                 6.85                85.03                36.90                 1.42                62.37                13.34                51.44                 4.84                25.72
07/03/2020               118.75                91.90                 6.15                77.49                36.01                 1.38                53.97                11.74                45.81                 4.34                23.92
08/03/2020               104.98                79.91                 5.60                71.19                35.18                 1.35                47.24                10.38                42.50                 3.96                22.34
09/03/2020                93.31                70.52                 5.17                65.90                34.40                 1.32                42.03                 9.23                40.51                 3.66                20.96
