                   GUARAPIRANGA        BILL E PEDRAS           PONTE NOVA    E. S. + PINHEIROS            B. BONITA               BARIRI             IBITINGA            PROMISSÃO       N. AVANHANDAVA
                            117                  119                  160                  161                  237                  238                  239                  240                  242
                    INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL
12/02/2020                70.44               107.42                42.85               366.29              1339.77               177.15               340.84               204.12                80.56
13/02/2020                46.96                71.61                28.56               244.17              1360.06               121.89               234.50               181.62                71.68
14/02/2020                32.27                49.21                19.63               167.79              1256.43               104.58               201.21               164.86                65.07
15/02/2020                23.01                35.10                14.00               119.68              1017.46                88.64               170.54               152.38                60.14
16/02/2020                17.39                26.52                10.58                90.42               841.17                75.37               145.02               143.55                56.66
17/02/2020                14.23                21.70                 8.65                73.98               715.55                73.38               141.18               137.35                54.21
18/02/2020                12.24                18.67                 7.45                63.67               632.91                75.51               145.27               133.87                52.84
19/02/2020                13.07                19.93                 7.95                67.97               579.11                78.26               150.57               133.30                52.62
20/02/2020                12.79                19.51                 7.78                66.51               549.35                82.41               158.56               133.33                52.62
21/02/2020                11.42                17.41                 6.94                59.36               537.63                85.87               165.22               135.89                53.63
22/02/2020                15.50                23.63                 9.43                80.58               532.87                85.93               165.34               136.21                53.76
23/02/2020                17.07                26.03                10.38                88.77               546.73                84.87               163.29               135.18                53.36
