                   RETIRO BAIXO          TRÊS MARIAS             QUEIMADO
                            155                  156                  158
                          TOTAL          INCREMENTAL                TOTAL
22/03/2020               210.29              1080.10                56.91
23/03/2020               250.30              1069.42                57.68
24/03/2020               292.11              1041.66                63.18
25/03/2020               317.13              1007.65                62.12
26/03/2020               290.31               974.34                60.38
27/03/2020               257.62               943.98                58.88
28/03/2020               231.47               916.30                57.66
29/03/2020               210.46               891.03                55.98
30/03/2020               193.53               867.89                54.36
31/03/2020               179.86               846.68                52.92
01/04/2020               168.84               827.32                51.62
02/04/2020               160.21               810.09                50.43
