                 SANTA CLARA-PR               FUNDÃO               JORDÃO         G. B. MUNHOZ              SEGREDO       SALTO SANTIAGO         SALTO OSORIO         SALTO CAXIAS       SEGREDO+JORDAO
                            071                  072                  073                  074                  076                  077                  078                  222                  976
                          TOTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL
08/03/2020                16.25                 1.08                 4.35               214.96                22.29                17.70                 7.00                43.90                 0.00
09/03/2020                15.83                 1.04                 4.18               224.06                21.39                16.03                 6.34                39.76                 0.00
10/03/2020                15.16                 1.01                 4.06               207.17                20.80                14.35                 5.67                35.60                 0.00
11/03/2020                14.57                 0.99                 3.97               192.25                20.35                13.03                 5.15                32.32                 0.00
12/03/2020                14.05                 0.97                 3.90               179.05                19.97                11.98                 4.74                29.72                 0.00
13/03/2020                13.57                 0.95                 3.84               167.36                19.65                11.14                 4.40                27.62                 0.00
14/03/2020                13.14                 0.94                 3.77               156.97                19.33                10.50                 4.15                26.05                 0.00
15/03/2020                12.75                 0.92                 3.70               147.71                18.97                 9.92                 3.92                24.61                 0.00
16/03/2020                12.38                 0.90                 3.63               139.47                18.61                 9.44                 3.73                23.41                 0.00
17/03/2020                12.03                 0.92                 3.69               132.10                18.89                 9.08                 3.59                22.52                 0.00
18/03/2020                11.89                 0.93                 3.73               125.77                19.10                 9.58                 3.79                23.76                 0.00
19/03/2020                11.72                 0.93                 3.74               120.44                19.15                10.17                 4.02                25.22                 0.00
