                 SANTA CLARA-PR               FUNDÃO               JORDÃO         G. B. MUNHOZ              SEGREDO       SALTO SANTIAGO         SALTO OSORIO         SALTO CAXIAS       SEGREDO+JORDAO
                            071                  072                  073                  074                  076                  077                  078                  222                  976
                          TOTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL
11/02/2020                31.77                 1.55                 6.23               190.28                31.89                24.12                 9.53                59.83                 0.00
12/02/2020                30.20                 1.43                 5.74               179.16                29.39                21.86                 8.64                54.23                 0.00
13/02/2020                28.85                 1.34                 5.41               167.76                27.71                19.99                 7.90                49.59                 0.00
14/02/2020                27.66                 1.29                 5.19               156.93                26.58                18.37                 7.26                45.56                 0.00
15/02/2020                26.60                 1.25                 5.03               147.21                25.74                17.04                 6.74                42.27                 0.00
16/02/2020                25.79                 1.22                 4.90               138.16                25.08                15.96                 6.31                39.59                 0.00
17/02/2020                25.12                 1.20                 4.82               130.34                24.67                15.23                 6.02                37.79                 0.00
18/02/2020                24.41                 1.20                 4.84               123.69                24.80                14.72                 5.82                36.52                 0.00
19/02/2020                23.81                 1.20                 4.83               118.44                24.75                14.65                 5.79                36.35                 0.00
20/02/2020                23.41                 1.17                 4.72               114.82                24.15                14.49                 5.73                35.95                 0.00
21/02/2020                22.87                 1.14                 4.59               112.28                23.50                14.18                 5.61                35.18                 0.00
22/02/2020                22.20                 1.12                 4.52               109.31                23.16                13.79                 5.45                34.21                 0.00
