                       CAMARGOS             ITUTINGA               FURNAS            M. MORAES        L. C. BARRETO              JAGUARA            IGARAPAVA         VOLTA GRANDE          P. COLOMBIA              CACONDE          E. DA CUNHA             LIMOEIRO           MARIMBONDO          A. VERMELHA             FUNIL-MG
                            001                  002                  006                  007                  008                  009                  010                  011                  012                  014                  015                  016                  017                  018                  211
                    INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL
08/03/2020               220.12                 0.00              1119.01               312.37                72.09                29.83                85.34               190.57               338.62                63.10                40.34                 1.89               938.72               361.58               413.44
09/03/2020               205.01                 0.00              1059.20               294.83                68.04                28.15                80.55               179.87               325.18                60.91                38.94                 1.82               866.98               349.35               371.08
10/03/2020               191.53                 0.00               991.55               278.68                64.31                26.61                76.14               170.02               310.33                59.23                37.87                 1.76               823.87               338.42               335.49
11/03/2020               179.54                 0.00               931.32               263.81                60.88                25.19                72.08               160.95               296.87                57.93                37.03                 1.71               786.87               328.62               305.57
12/03/2020               168.92                 0.00               877.66               250.12                57.72                23.88                68.34               152.60               284.69                56.88                36.36                 1.67               755.07               319.83               280.39
13/03/2020               159.51                 0.00               829.80               237.52                54.81                22.68                64.89               144.90               273.62                56.02                35.81                 1.64               727.57               312.13               259.19
14/03/2020               151.16                 0.00               787.05               225.90                52.13                21.57                61.72               137.82               263.56                55.28                35.35                 1.61               703.64               305.38               241.32
15/03/2020               143.76                 0.00               748.86               215.19                49.66                20.55                58.79               131.28               254.38                54.64                34.94                 1.58               682.75               299.23               226.23
16/03/2020               137.18                 0.00               714.69               205.31                47.38                19.61                56.09               125.26               246.02                54.08                34.57                 1.56               664.40               293.67               213.47
17/03/2020               131.33                 0.00               684.05               196.21                45.28                18.74                53.61               119.70               238.36                53.55                34.24                 1.54               648.32               288.84               202.67
18/03/2020               126.13                 0.00               656.58               187.80                43.34                17.93                51.31               114.57               231.35                53.09                33.95                 1.53               634.19               284.64               193.50
19/03/2020               121.91                 0.00               631.93               180.17                41.58                17.20                49.22               109.92               224.99                52.77                33.74                 1.51               621.86               281.21               185.71
