                   RETIRO BAIXO          TRÊS MARIAS             QUEIMADO
                            155                  156                  158
                          TOTAL          INCREMENTAL                TOTAL
27/01/2020               818.10              1929.81               111.81
28/01/2020               989.30              1959.92               122.17
29/01/2020               948.94              1850.93               128.13
30/01/2020               803.59              1732.60               129.12
31/01/2020               672.28              1643.17               117.97
01/02/2020               574.65              1562.21               105.97
02/02/2020               501.81              1497.98                95.25
03/02/2020               446.56              1451.60                86.11
04/02/2020               413.54              1460.90                78.83
05/02/2020               395.48              1468.33                76.92
06/02/2020               383.66              1422.04                80.30
07/02/2020               374.97              1368.14                80.91
