                      GARIBALDI                  ITÁ          PASSO FUNDO          FOZ CHAPECO             SAO JOSE       PASSO SAO JOAO         BARRA GRANDE         CAMPOS NOVOS           MACHADINHO           MONJOLINHO        QUEBRA QUEIXO
                            089                  092                  093                  094                  102                  103                  215                  216                  217                  220                  286
                    INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL                TOTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL                TOTAL
23/03/2020                31.64                36.17                 5.64                39.28                32.35                 1.24                 8.36                 3.13                27.07                 3.98                14.52
24/03/2020                28.88                32.01                 5.07                38.04                30.32                 1.16                 7.88                 2.86                24.81                 3.58                13.76
25/03/2020                26.52                28.69                 4.62                36.97                28.68                 1.10                 7.46                 2.62                23.30                 3.27                13.07
26/03/2020                24.48                26.00                 4.28                36.04                27.36                 1.05                 7.09                 2.42                22.20                 3.02                12.44
27/03/2020                22.72                23.82                 4.00                35.23                26.26                 1.01                 6.76                 2.25                21.34                 2.83                11.88
28/03/2020                21.20                22.02                 3.78                34.52                25.34                 0.97                 6.46                 2.10                20.61                 2.67                11.37
29/03/2020                19.88                20.51                 3.59                33.88                24.54                 0.94                 6.19                 1.97                19.96                 2.54                10.91
30/03/2020                18.73                19.23                 3.45                33.31                23.84                 0.92                 5.94                 1.85                19.34                 2.43                10.50
31/03/2020                17.71                18.15                 3.31                32.81                23.26                 0.89                 5.71                 1.75                18.74                 2.34                10.14
01/04/2020                16.83                17.23                 3.20                32.35                22.73                 0.87                 5.51                 1.66                18.18                 2.26                 9.79
02/04/2020                16.06                16.43                 3.18                31.94                22.18                 0.85                 5.32                 1.59                17.61                 2.25                 9.49
03/04/2020                15.52                15.97                 3.46                31.66                21.73                 0.84                 5.52                 1.53                17.13                 2.45                 9.31
