                       CAMARGOS             ITUTINGA               FURNAS            M. MORAES        L. C. BARRETO              JAGUARA            IGARAPAVA         VOLTA GRANDE          P. COLOMBIA              CACONDE          E. DA CUNHA             LIMOEIRO           MARIMBONDO          A. VERMELHA             FUNIL-MG
                            001                  002                  006                  007                  008                  009                  010                  011                  012                  014                  015                  016                  017                  018                  211
                    INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL
02/03/2020               304.28                 0.00              1779.54               521.88               120.43                49.83               142.58               318.39               481.28                98.92                63.24                 1.69               806.92               529.20               469.94
03/03/2020               289.55                 0.00              1782.08               494.28               114.07                47.20               135.04               301.55               475.88                93.61                59.85                 1.72               804.87               509.80               452.44
04/03/2020               270.95                 0.00              1732.66               464.92               107.29                44.40               127.02               283.64               457.39                88.27                56.44                 1.71               811.04               486.88               424.85
05/03/2020               251.29                 0.00              1632.60               436.74               100.79                41.70               119.32               266.44               435.23                81.95                52.40                 1.65               790.94               466.43               385.06
06/03/2020               233.35                 0.00              1513.06               410.47                94.72                39.20               112.15               250.42               413.22                76.59                48.97                 1.61               764.77               448.18               346.35
07/03/2020               217.25                 0.00              1400.36               386.32                89.15                36.89               105.55               235.69               392.53                72.44                46.32                 1.56               723.97               431.90               312.45
08/03/2020               203.01                 0.00              1299.01               364.19                84.04                34.78                99.50               222.19               373.68                69.29                44.30                 1.52               687.68               417.35               283.61
09/03/2020               190.40                 0.00              1208.73               343.79                79.34                32.83                93.93               209.74               356.60                66.95                42.80                 1.49               656.53               404.35               259.36
10/03/2020               179.23                 0.00              1128.47               324.97                74.99                31.03                88.78               198.26               341.11                65.29                41.74                 1.46               630.01               392.72               238.94
11/03/2020               169.33                 0.00              1057.03               307.64                70.99                29.38                84.05               187.68               327.04                63.87                40.84                 1.44               607.19               382.35               221.73
12/03/2020               160.55                 0.00               993.37               291.68                67.31                27.85                79.69               177.95               314.22                62.68                40.07                 1.42               587.47               373.02               207.21
13/03/2020               152.76                 0.00               936.60               276.99                63.92                26.45                75.68               168.99               302.53                61.70                39.44                 1.40               570.36               364.63               194.95
