                   GUARAPIRANGA        BILL E PEDRAS           PONTE NOVA    E. S. + PINHEIROS            B. BONITA               BARIRI             IBITINGA            PROMISSÃO       N. AVANHANDAVA
                            117                  119                  160                  161                  237                  238                  239                  240                  242
                    INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL
23/03/2020                11.15                17.01                 6.78                57.99               398.86                64.07               123.28                72.88                28.77
24/03/2020                10.84                16.53                 6.59                56.37               361.37                63.28               121.76                72.30                28.53
25/03/2020                10.62                16.19                 6.46                55.21               334.02                62.44               120.12                71.81                28.35
26/03/2020                10.45                15.94                 6.36                54.35               314.68                61.93               119.15                71.41                28.18
27/03/2020                10.32                15.74                 6.28                53.67               300.87                61.53               118.39                71.05                28.05
28/03/2020                10.21                15.57                 6.21                53.10               290.89                61.17               117.68                70.75                27.92
29/03/2020                10.12                15.43                 6.16                52.63               283.56                60.81               116.99                71.34                28.16
30/03/2020                12.30                18.75                 7.48                63.94               278.49                60.89               117.14                80.70                31.85
31/03/2020                21.81                33.26                13.27               113.41               277.93                61.46               118.25                89.30                35.24
01/04/2020                22.85                34.85                13.90               118.82               294.99                61.82               118.94                86.10                33.98
02/04/2020                23.50                35.84                14.30               122.20               313.59                61.80               118.89                82.38                32.51
03/04/2020                20.83                31.76                12.67               108.31               313.22                61.72               118.74                79.54                31.40
