                      JURUMIRIM               PIRAJU            CHAVANTES      SALTO GRANDE CS            CANOAS II             CANOAS I                 MAUA             CAPIVARA            TAQUARUÇU               ROSANA             OURINHOS
                            047                  048                  049                  050                  051                  052                  057                  061                  062                  063                  249
                          TOTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL                TOTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL
25/03/2020               253.13                 2.07                42.89                82.83                 6.49                13.84                48.56               159.57                48.80               114.42                 3.30
26/03/2020               217.15                 1.98                41.01                78.39                 6.15                13.10                46.64               147.15                48.28               113.20                 3.12
27/03/2020               189.86                 1.91                39.68                74.84                 5.87                12.50                44.85               138.29                47.98               112.49                 2.98
28/03/2020               169.12                 1.87                38.73                71.97                 5.64                12.03                43.19               131.90                47.79               112.03                 2.87
29/03/2020               153.34                 1.83                38.04                69.65                 5.46                11.64                42.38               127.23                47.85               112.17                 2.78
30/03/2020               141.28                 1.81                37.53                68.34                 5.36                11.42                42.38               125.66                52.00               121.91                 2.72
31/03/2020               132.02                 1.86                38.65                67.97                 5.33                11.36                41.37               128.30                59.86               140.33                 2.71
01/04/2020               125.39                 1.94                40.20                67.09                 5.26                11.21                39.93               131.35                57.75               135.41                 2.67
02/04/2020               121.07                 1.90                39.36                65.94                 5.17                11.02                38.73               128.22                52.96               124.17                 2.63
03/04/2020               118.92                 1.85                38.29                64.91                 5.09                10.85                37.64               124.49                50.20               117.70                 2.59
04/04/2020               116.39                 1.82                37.64                64.28                 5.04                10.74                36.94               122.08                48.71               114.21                 2.56
05/04/2020               113.64                 1.82                37.81                64.43                 5.05                10.77                37.46               121.27                48.46               113.61                 2.57
