                   RETIRO BAIXO          TRÊS MARIAS             QUEIMADO
                            155                  156                  158
                          TOTAL          INCREMENTAL                TOTAL
02/03/2020               388.02              1824.83                55.92
03/03/2020               472.81              1950.34                62.60
04/03/2020               554.00              1932.74                73.19
05/03/2020               617.58              1912.44                79.83
06/03/2020               662.56              1801.90                86.72
07/03/2020               605.61              1677.17                91.96
08/03/2020               535.13              1560.20                96.88
09/03/2020               470.14              1454.52                96.44
10/03/2020               416.62              1357.29                93.79
11/03/2020               374.04              1270.14                89.74
12/03/2020               340.05              1190.92                88.74
13/03/2020               312.71              1119.36                87.25
