                   RETIRO BAIXO          TRÊS MARIAS             QUEIMADO
                            155                  156                  158
                          TOTAL          INCREMENTAL                TOTAL
25/03/2020               324.60              1023.73               102.07
26/03/2020               295.28               989.60                98.06
27/03/2020               263.07               957.85                94.41
28/03/2020               237.25               928.94                90.33
29/03/2020               216.51               902.56                85.00
30/03/2020               199.79               878.45                80.39
31/03/2020               186.25               856.35                76.41
01/04/2020               175.24               836.11                72.94
02/04/2020               166.24               818.08                69.91
03/04/2020               159.35               803.09                67.25
04/04/2020               154.39               789.58                65.01
05/04/2020               151.03               777.44                63.20
