                   RETIRO BAIXO          TRÊS MARIAS             QUEIMADO
                            155                  156                  158
                          TOTAL          INCREMENTAL                TOTAL
08/03/2020               436.24              2124.57               147.85
09/03/2020               386.71              1987.13               145.38
10/03/2020               345.68              1856.63               141.55
11/03/2020               312.23              1730.29               133.14
12/03/2020               284.12              1615.83               126.50
13/03/2020               261.66              1512.97               117.64
14/03/2020               243.33              1420.56               109.85
15/03/2020               228.52              1337.51               104.28
16/03/2020               216.45              1262.79                99.10
17/03/2020               206.57              1195.51                93.80
18/03/2020               198.40              1134.89                89.28
19/03/2020               191.60              1080.31                85.55
