                   GUARAPIRANGA        BILL E PEDRAS           PONTE NOVA    E. S. + PINHEIROS            B. BONITA               BARIRI             IBITINGA            PROMISSÃO       N. AVANHANDAVA
                            117                  119                  160                  161                  237                  238                  239                  240                  242
                    INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL
22/03/2020                11.67                17.79                 7.10                60.67               416.63                67.10               129.10                73.79                29.13
23/03/2020                11.24                17.13                 6.83                58.43               384.87                65.87               126.74                73.44                28.98
24/03/2020                10.94                16.69                 6.66                56.90               348.13                65.07               125.19                73.12                28.86
25/03/2020                10.73                16.37                 6.53                55.80               321.34                64.20               123.52                72.84                28.75
26/03/2020                10.57                16.12                 6.43                54.97               302.41                63.67               122.51                72.57                28.65
27/03/2020                10.44                15.93                 6.35                54.31               288.90                63.27               121.72                72.32                28.55
28/03/2020                10.34                15.76                 6.29                53.75               279.15                62.89               121.00                72.80                28.74
29/03/2020                10.24                15.62                 6.23                53.25               271.99                62.67               120.58                77.42                30.56
30/03/2020                10.45                15.93                 6.36                54.33               266.84                62.82               120.85                80.99                31.97
31/03/2020                11.93                18.19                 7.26                62.03               268.04                63.36               121.90                82.59                32.60
01/04/2020                17.09                26.06                10.40                88.86               276.01                63.43               122.05                81.32                32.10
02/04/2020                15.28                23.30                 9.29                79.45               286.37                63.35               121.88                78.68                31.06
