                       CAMARGOS             ITUTINGA               FURNAS            M. MORAES        L. C. BARRETO              JAGUARA            IGARAPAVA         VOLTA GRANDE          P. COLOMBIA              CACONDE          E. DA CUNHA             LIMOEIRO           MARIMBONDO          A. VERMELHA             FUNIL-MG
                            001                  002                  006                  007                  008                  009                  010                  011                  012                  014                  015                  016                  017                  018                  211
                    INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL
27/02/2020               182.71                 0.00              1287.59               359.06                82.86                34.29                98.10               219.05               348.31               125.00                79.92                 1.68               704.42               460.72               314.46
28/02/2020               180.72                 0.00              1291.67               361.59                83.44                34.53                98.79               220.60               347.68               141.78                90.64                 1.73               754.39               468.63               311.19
29/02/2020               176.66                 0.00              1272.72               372.91                86.06                35.61               101.88               227.51               351.56               131.13                83.84                 1.75               859.27               477.80               341.83
01/03/2020               186.46                 0.00              1266.89               369.75                85.33                35.31               101.02               225.58               348.84               115.02                73.53                 1.71               881.42               477.68               388.13
02/03/2020               198.31                 0.00              1252.45               378.34                87.31                36.13               103.37               230.82               353.86               104.44                66.78                 1.68               871.49               465.75               461.77
03/03/2020               192.74                 0.00              1213.71               363.43                83.87                34.70                99.29               221.72               347.12                97.46                62.31                 1.66               834.56               453.50               476.57
04/03/2020               182.28                 0.00              1165.11               345.77                79.79                33.02                94.47               210.95               336.83                93.78                59.96                 1.63               794.41               438.65               434.60
05/03/2020               171.58                 0.00              1101.43               327.46                75.57                31.27                89.47               199.78               324.69                89.14                56.99                 1.58               756.32               423.53               389.44
06/03/2020               161.54                 0.00              1038.43               309.87                71.51                29.59                84.66               189.05               312.02                83.89                53.64                 1.53               720.98               408.33               349.37
07/03/2020               152.47                 0.00               977.08               293.68                67.77                28.04                80.23               179.17               299.86                79.28                50.68                 1.49               687.47               394.65               315.02
08/03/2020               144.44                 0.00               919.72               278.76                64.33                26.62                76.16               170.07               288.60                75.74                48.43                 1.46               657.59               382.41               286.10
09/03/2020               137.30                 0.00               867.98               265.02                61.16                25.31                72.41               161.68               278.32                73.03                46.69                 1.43               631.79               371.43               261.77
