                   GUARAPIRANGA        BILL E PEDRAS           PONTE NOVA    E. S. + PINHEIROS            B. BONITA               BARIRI             IBITINGA            PROMISSÃO       N. AVANHANDAVA
                            117                  119                  160                  161                  237                  238                  239                  240                  242
                    INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL
27/01/2020                 8.20                12.51                 4.99                42.66               169.86                58.82               112.16               111.09                43.41
28/01/2020                 7.42                11.32                 4.52                38.60               159.34                54.80               104.51               108.49                42.40
29/01/2020                 6.93                10.57                 4.22                36.03               151.93                49.91                95.18               106.63                41.68
30/01/2020                 6.61                10.08                 4.02                34.36               146.65                48.64                92.75               105.80                41.35
31/01/2020                 6.61                10.08                 4.02                34.36               149.05                49.14                93.71               106.20                41.50
01/02/2020                10.04                15.31                 6.11                52.20               157.93                52.20                99.54               113.72                44.45
02/02/2020                15.88                24.22                 9.66                82.59               184.65                57.61               109.86               128.50                50.22
03/02/2020                24.06                36.69                14.64               125.11               239.04                63.44               120.97               136.37                53.30
04/02/2020                18.81                28.68                11.44                97.81               299.86                63.22               120.56               134.09                52.40
05/02/2020                14.08                21.48                 8.57                73.24               315.11                60.00               114.42               126.97                49.62
06/02/2020                11.06                16.87                 6.73                57.51               286.49                56.27               107.30               120.76                47.20
07/02/2020                10.12                15.43                 6.16                52.62               252.21                53.92               102.81               117.81                46.04
