                      GARIBALDI                  ITÁ          PASSO FUNDO          FOZ CHAPECO             SAO JOSE       PASSO SAO JOAO         BARRA GRANDE         CAMPOS NOVOS           MACHADINHO           MONJOLINHO        QUEBRA QUEIXO
                            089                  092                  093                  094                  102                  103                  215                  216                  217                  220                  286
                    INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL                TOTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL                TOTAL
08/03/2020                52.13                45.53                 5.57                67.13                36.67                 1.41                25.43                 5.16                25.89                 3.93                28.12
09/03/2020                47.39                41.05                 5.12                63.05                35.79                 1.38                23.27                 4.69                24.96                 3.62                26.21
10/03/2020                43.27                37.46                 4.77                59.61                34.98                 1.34                21.49                 4.28                24.32                 3.37                24.53
11/03/2020                39.69                34.56                 4.49                56.70                34.22                 1.31                20.00                 3.93                23.81                 3.17                23.05
12/03/2020                36.63                32.17                 4.26                54.23                33.49                 1.29                18.73                 3.62                23.36                 3.01                21.74
13/03/2020                33.98                30.19                 4.07                52.12                32.80                 1.26                17.63                 3.36                22.93                 2.87                20.58
14/03/2020                31.69                28.51                 3.90                50.33                32.14                 1.23                16.66                 3.13                22.50                 2.76                19.53
15/03/2020                29.68                27.07                 3.76                48.78                31.49                 1.21                15.82                 2.94                22.04                 2.66                18.59
16/03/2020                27.95                25.81                 3.64                47.44                30.87                 1.19                15.07                 2.76                21.57                 2.57                17.74
17/03/2020                26.43                24.70                 3.78                46.32                30.56                 1.17                14.40                 2.61                21.07                 2.67                17.00
18/03/2020                25.47                24.42                 4.16                46.00                31.54                 1.21                15.05                 2.52                20.69                 2.94                16.67
19/03/2020                25.87                24.26                 4.25                46.55                33.55                 1.29                17.28                 2.56                21.87                 3.01                16.48
