                       CAMARGOS             ITUTINGA               FURNAS            M. MORAES        L. C. BARRETO              JAGUARA            IGARAPAVA         VOLTA GRANDE          P. COLOMBIA              CACONDE          E. DA CUNHA             LIMOEIRO           MARIMBONDO          A. VERMELHA             FUNIL-MG
                            001                  002                  006                  007                  008                  009                  010                  011                  012                  014                  015                  016                  017                  018                  211
                    INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL
11/02/2020               289.18                 0.00              1342.20               272.60                62.91                26.03                74.48               166.31               322.20               187.94               120.16                 1.75               775.21               475.76               304.82
12/02/2020               305.34                 0.00              1379.96               278.91                64.36                26.63                76.20               170.16               332.57               290.67               185.84                 1.78               779.30               456.92               335.48
13/02/2020               306.54                 0.00              1497.68               289.66                66.84                27.66                79.14               176.72               349.42               297.04               189.91                 1.82               840.29               453.88               425.02
14/02/2020               294.92                 0.00              1493.68               280.27                64.68                26.76                76.57               170.99               347.17               234.83               150.14                 1.79               869.53               460.00               491.29
15/02/2020               272.56                 0.00              1392.56               265.55                61.28                25.36                72.55               162.01               334.35               185.03               118.29                 1.69               879.67               455.62               460.60
16/02/2020               250.80                 0.00              1281.27               250.59                57.83                23.93                68.46               152.88               318.68               148.64                95.04                 1.59               849.95               436.18               406.99
17/02/2020               233.51                 0.00              1178.26               237.45                54.80                22.67                64.87               144.86               303.72               122.63                78.41                 1.51               791.21               414.42               359.82
18/02/2020               222.47                 0.00              1091.95               229.17                52.88                21.88                62.61               139.81               293.22               104.28                66.67                 1.44               742.27               395.12               322.51
19/02/2020               210.88                 0.00              1028.16               222.65                51.38                21.26                60.83               135.83               285.17                91.63                58.59                 1.39               707.72               379.68               296.86
20/02/2020               198.90                 0.00               982.75               214.29                49.45                20.46                58.55               130.73               276.99                82.89                53.00                 1.36               687.71               367.47               279.64
21/02/2020               186.77                 0.00               935.82               206.11                47.56                19.68                56.31               125.75               269.32                77.37                49.46                 1.32               674.10               358.61               264.02
22/02/2020               177.94                 0.00               886.49               196.90                45.44                18.80                53.79               120.12               260.96                73.16                46.77                 1.30               657.26               350.10               245.60
