                      GARIBALDI                  ITÁ          PASSO FUNDO          FOZ CHAPECO             SAO JOSE       PASSO SAO JOAO         BARRA GRANDE         CAMPOS NOVOS           MACHADINHO           MONJOLINHO        QUEBRA QUEIXO
                            089                  092                  093                  094                  102                  103                  215                  216                  217                  220                  286
                    INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL                TOTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL                TOTAL
22/03/2020                30.73                45.91                 6.35                41.88                34.64                 1.33                 8.85                 3.04                29.31                 4.48                15.66
23/03/2020                28.16                39.78                 5.61                40.21                32.14                 1.24                 8.42                 2.78                26.23                 3.97                14.83
24/03/2020                25.94                34.93                 5.05                38.78                30.17                 1.16                 8.04                 2.57                24.22                 3.57                14.09
25/03/2020                24.02                31.08                 4.61                37.56                28.59                 1.10                 7.69                 2.38                22.83                 3.26                13.41
26/03/2020                22.37                28.00                 4.27                36.50                27.30                 1.05                 7.38                 2.21                21.79                 3.01                12.79
27/03/2020                20.94                25.50                 4.00                35.58                26.23                 1.01                 7.08                 2.07                20.95                 2.82                12.22
28/03/2020                19.68                23.47                 3.77                34.77                25.33                 0.97                 6.81                 1.95                20.23                 2.67                11.69
29/03/2020                18.59                21.78                 3.59                34.07                24.54                 0.94                 6.56                 1.84                19.56                 2.54                11.21
30/03/2020                17.63                20.37                 3.44                33.44                23.84                 0.92                 6.31                 1.74                18.93                 2.43                10.80
31/03/2020                16.80                19.41                 3.40                33.05                23.23                 0.89                 6.12                 1.66                18.31                 2.41                10.55
01/04/2020                16.74                19.04                 3.43                32.97                22.73                 0.87                 7.41                 1.66                18.02                 2.43                10.44
02/04/2020                16.84                18.51                 3.52                32.67                22.56                 0.87                 7.43                 1.67                17.67                 2.48                10.21
