                       CAMARGOS             ITUTINGA               FURNAS            M. MORAES        L. C. BARRETO              JAGUARA            IGARAPAVA         VOLTA GRANDE          P. COLOMBIA              CACONDE          E. DA CUNHA             LIMOEIRO           MARIMBONDO          A. VERMELHA             FUNIL-MG
                            001                  002                  006                  007                  008                  009                  010                  011                  012                  014                  015                  016                  017                  018                  211
                    INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL
22/03/2020               154.62                 0.00               835.49               210.42                48.56                20.09                57.49               128.37               245.95                58.97                37.70                 0.96               491.29               302.53               348.19
23/03/2020               148.60                 0.00               821.25               202.85                46.81                19.37                55.42               123.75               239.66                56.46                36.09                 0.97               512.00               346.51               368.93
24/03/2020               142.31                 0.00               787.28               195.03                45.01                18.62                53.28               118.99               232.39                54.42                34.80                 0.95               503.20               351.43               342.45
25/03/2020               136.30                 0.00               745.29               187.81                43.34                17.93                51.31               114.58               225.27                52.87                33.81                 0.92               479.37               337.00               317.76
26/03/2020               130.95                 0.00               706.36               181.11                41.80                17.29                49.48               110.49               218.67                51.67                33.03                 0.91               456.69               322.48               296.11
27/03/2020               126.18                 0.00               671.46               174.92                40.37                16.70                47.79               106.72               212.62                50.70                32.42                 0.89               437.23               309.52               277.84
28/03/2020               121.93                 0.00               640.54               169.17                39.04                16.15                46.22               103.21               207.09                49.92                31.91                 0.88               420.47               297.96               262.39
29/03/2020               118.13                 0.00               613.12               164.10                37.87                15.67                44.83               100.11               202.10                49.25                31.49                 0.87               406.18               287.75               249.30
30/03/2020               114.73                 0.00               588.73               159.43                36.79                15.22                43.56                97.26               197.76                48.67                31.12                 0.86               394.98               279.89               238.19
31/03/2020               112.49                 0.00               567.73               156.65                36.15                14.96                42.80                95.57               195.94                48.61                31.08                 0.87               387.85               274.93               228.75
01/04/2020               111.57                 0.00               550.58               152.91                35.29                14.60                41.78                93.29               193.95                49.14                31.41                 0.88               382.55               272.74               220.93
02/04/2020               110.15                 0.00               537.63               148.85                34.35                14.21                40.67                90.81               190.75                49.15                31.43                 0.87               378.76               269.20               214.94
