                   RETIRO BAIXO          TRÊS MARIAS             QUEIMADO
                            155                  156                  158
                          TOTAL          INCREMENTAL                TOTAL
12/02/2020               416.61              1540.74                48.93
13/02/2020               425.49              1682.50                49.83
14/02/2020               445.32              1763.12                52.81
15/02/2020               473.69              1760.07                53.48
16/02/2020               487.39              1668.52                53.06
17/02/2020               461.85              1551.04                51.49
18/02/2020               418.63              1442.48                50.82
19/02/2020               377.48              1344.41                50.74
20/02/2020               349.06              1268.53                50.00
21/02/2020               329.84              1196.65                55.25
22/02/2020               312.18              1123.84                65.33
23/02/2020               295.69              1064.52                73.46
