                   GUARAPIRANGA        BILL E PEDRAS           PONTE NOVA    E. S. + PINHEIROS            B. BONITA               BARIRI             IBITINGA            PROMISSÃO       N. AVANHANDAVA
                            117                  119                  160                  161                  237                  238                  239                  240                  242
                    INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL
08/03/2020                10.38                15.83                 6.31                53.97               331.39                78.23               150.50               101.71                40.15
09/03/2020                 9.24                14.10                 5.62                48.07               316.46                77.77               149.63               101.17                39.93
10/03/2020                 8.53                13.01                 5.19                44.36               305.18                77.32               148.76               100.70                39.74
11/03/2020                 8.07                12.31                 4.91                41.99               296.47                76.87               147.89               100.29                39.58
12/03/2020                 7.77                11.86                 4.73                40.43               289.56                76.42               147.04                99.90                39.43
13/03/2020                 7.57                11.54                 4.60                39.36               283.91                75.98               146.18                99.54                39.29
14/03/2020                 7.42                11.32                 4.52                38.60               279.17                75.54               145.35                99.28                39.19
15/03/2020                 7.31                11.15                 4.45                38.03               275.08                75.15               144.59                99.07                39.10
16/03/2020                 7.25                11.05                 4.41                37.68               271.45                74.85               144.00                98.76                38.98
17/03/2020                 7.19                10.96                 4.37                37.38               268.17                74.55               143.42                98.49                38.88
18/03/2020                 8.01                12.22                 4.87                41.66               265.22                74.32               143.00                98.31                38.80
19/03/2020                 8.57                13.06                 5.21                44.55               262.87                74.21               142.79                98.25                38.78
