                      GARIBALDI                  ITÁ          PASSO FUNDO          FOZ CHAPECO             SAO JOSE       PASSO SAO JOAO         BARRA GRANDE         CAMPOS NOVOS           MACHADINHO           MONJOLINHO        QUEBRA QUEIXO
                            089                  092                  093                  094                  102                  103                  215                  216                  217                  220                  286
                    INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL                TOTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL                TOTAL
02/03/2020               110.12               156.41                12.87               130.93                45.19                 1.74                59.54                10.89                54.49                 9.09                51.52
03/03/2020                96.48               128.62                10.77               116.99                42.98                 1.65                49.71                 9.54                40.86                 7.61                46.10
04/03/2020                84.81               106.92                 9.19               105.37                41.15                 1.58                42.14                 8.39                32.88                 6.49                41.56
05/03/2020                75.05                90.02                 7.99                95.67                39.62                 1.52                37.75                 7.42                28.26                 5.65                37.68
06/03/2020                66.64                76.78                 7.08                87.56                38.31                 1.47                32.87                 6.59                25.46                 5.00                34.24
07/03/2020                59.50                66.40                 6.38                80.77                37.17                 1.43                29.06                 5.88                23.76                 4.50                31.28
08/03/2020                53.37                58.24                 5.83                75.08                36.16                 1.39                26.04                 5.28                22.68                 4.12                28.71
09/03/2020                48.10                51.79                 5.40                70.30                35.25                 1.35                23.62                 4.76                21.94                 3.81                26.48
10/03/2020                43.56                46.67                 5.06                66.27                34.41                 1.32                21.66                 4.31                21.38                 3.57                24.54
11/03/2020                39.64                42.57                 4.78                62.87                33.63                 1.29                20.03                 3.92                20.91                 3.38                22.85
12/03/2020                36.27                39.26                 4.55                59.99                32.90                 1.26                18.66                 3.59                20.47                 3.22                21.37
13/03/2020                33.39                36.57                 4.36                57.54                32.20                 1.24                17.49                 3.30                20.04                 3.08                20.07
