                       CAMARGOS             ITUTINGA               FURNAS            M. MORAES        L. C. BARRETO              JAGUARA            IGARAPAVA         VOLTA GRANDE          P. COLOMBIA              CACONDE          E. DA CUNHA             LIMOEIRO           MARIMBONDO          A. VERMELHA             FUNIL-MG
                            001                  002                  006                  007                  008                  009                  010                  011                  012                  014                  015                  016                  017                  018                  211
                    INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL
27/01/2020               109.52                 0.00               938.97               505.39               116.63                48.26               138.08               308.33               394.08                67.86                43.39                 1.19               506.31               646.48               363.89
28/01/2020               103.43                 0.00               872.10               471.69               108.85                45.04               128.87               287.77               372.29                60.90                38.93                 1.13               487.73               596.53               317.85
29/01/2020                98.31                 0.00               807.81               441.59               101.90                42.17               120.65               269.40               350.82                55.76                35.65                 1.08               457.21               552.00               279.06
30/01/2020                95.12                 0.00               753.98               414.10                95.56                39.54               113.14               252.63               331.23                52.78                33.74                 1.04               431.79               512.58               248.90
31/01/2020                92.26                 0.00               710.86               387.47                89.42                37.00               105.86               236.38               312.85                50.97                32.58                 1.00               411.16               478.53               225.81
01/02/2020                91.36                 0.00               679.68               363.34                83.85                34.70                99.27               221.66               296.31                49.43                31.61                 0.98               396.08               450.78               208.85
02/02/2020               104.94                 0.00               679.98               349.74                80.71                33.40                95.55               213.37               288.02                52.93                33.84                 0.98               390.86               430.47               212.10
03/02/2020               134.91                 0.00               708.09               346.75                80.02                33.11                94.73               211.54               291.22                63.26                40.45                 1.04               407.26               418.13               234.95
04/02/2020               147.27                 0.00               763.07               340.75                78.63                32.54                93.10               207.89               296.00                72.18                46.15                 1.12               445.80               413.88               255.56
05/02/2020               140.94                 0.00               779.44               326.99                75.46                31.22                89.34               199.49               292.61                69.31                44.31                 1.14               491.67               408.67               253.89
06/02/2020               132.60                 0.00               749.45               308.85                71.27                29.49                84.38               188.43               282.29                62.96                40.26                 1.11               520.24               397.22               231.07
07/02/2020               124.50                 0.00               700.70               290.98                67.15                27.79                79.50               177.52               269.97                57.63                36.84                 1.07               511.19               381.65               208.09
