                   GUARAPIRANGA        BILL E PEDRAS           PONTE NOVA    E. S. + PINHEIROS            B. BONITA               BARIRI             IBITINGA            PROMISSÃO       N. AVANHANDAVA
                            117                  119                  160                  161                  237                  238                  239                  240                  242
                    INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL
27/02/2020               102.84               156.83                62.56               534.77               727.18               133.01               255.91               213.61                84.31
28/02/2020                67.05               102.25                40.79               348.65              1080.47               141.86               272.93               188.90                74.56
29/02/2020                45.63                69.59                27.76               237.28              1087.18               129.20               248.57               168.60                66.54
01/03/2020                38.07                58.05                23.16               197.95               911.53               115.48               222.18               153.80                60.71
02/03/2020                31.15                47.50                18.95               161.96               726.82               101.96               196.16               143.02                56.45
03/03/2020                31.05                47.35                18.89               161.47               587.25                81.31               156.43               134.65                53.15
04/03/2020                25.21                38.45                15.34               131.10               491.92                76.08               146.38               128.22                50.61
05/03/2020                19.91                30.36                12.11               103.52               425.73                74.56               143.44               123.38                48.70
06/03/2020                16.18                24.68                 9.85                84.16               375.84                73.86               142.11               119.75                47.26
07/03/2020                13.68                20.87                 8.32                71.16               339.29                73.35               141.12               117.00                46.18
08/03/2020                12.16                18.55                 7.40                63.25               312.96                72.90               140.26               114.91                45.35
09/03/2020                11.13                16.97                 6.77                57.88               293.76                72.47               139.44               113.29                44.72
