                   RETIRO BAIXO          TRÊS MARIAS             QUEIMADO
                            155                  156                  158
                          TOTAL          INCREMENTAL                TOTAL
27/02/2020               249.54              1363.98                63.11
28/02/2020               266.24              1480.32                64.08
29/02/2020               314.87              1646.30                63.55
01/03/2020               359.62              1788.04                65.86
02/03/2020               427.21              2033.23                75.45
03/03/2020               504.18              2095.75                80.02
04/03/2020               532.41              2081.52                83.55
05/03/2020               521.45              2002.91                89.13
06/03/2020               490.63              1865.54               101.65
07/03/2020               440.48              1730.10               103.49
08/03/2020               391.51              1603.62               101.43
09/03/2020               351.96              1488.38                98.62
